,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
製麴機,月日,産地,新古,品種,精米歩合,枚数,重量,①品温,②時刻,②時刻(h),②品温,②保温1,②保温2,③換気,③排気,③除湿機入り,③除湿機戻り,③保温1,③保温2,③風量,④時刻,④時刻(h),④品温,④換気,④排気,④除湿機入り,④除湿機戻り,④風量,"⑤変更有無
変更無=1
変更有=2",⑤換気,⑤排気,⑤除湿機入り,⑤除湿機戻り,⑤風量,⑥変更有無,⑥換気,⑥排気,⑦換気,⑦排気,⑦除湿機入り,⑦除湿機戻り,⑦風量,
A,2021/11/3,岡山県,新米,雄町,50,6,125,32.08,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:56:00,15.93 ,41.18,0.8,1.7,3.1,全開,6.0,1,0.8,1.7,3.1,全開,6.0,1,0.8,1.7,,,,,,
B,2021/11/4,岡山県,新米,雄町,50,4,90,31.62,,,,,,1.3,2.1,全閉,全閉,39.0,39.5,5.3,15:58:00,15.97 ,41.60,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,0.35,0.75,3.1,0.5,5.5,
A,2021/11/5,岡山県,新米,雄町,50,6,105,31.62,,,,,,1.2,2.1,,,,,,15:36:00,15.60 ,40.92,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,,,,,,
B,2021/11/6,広島県,新米,八反錦,60,3,70,31.52,,,,,,,,,,,,,15:57:00,15.95 ,41.38,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,,,,,,
A,2021/11/7,岡山県,新米,雄町,50,6,105,30.88,12:26:00,12.43 ,34.18,,,,,,,,,,16:07:00,16.12 ,41.22,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,,,,,,
B,2021/11/8,岡山県,新米,雄町,50,3,70,31.30,,,,,,1.3,2.1,,,,,,16:05:00,16.08 ,40.76,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,全閉,全閉,4.8,1,1.3,2.1,0.2,0.65,3.1,0.5,5.0,
A,2021/11/9,兵庫県,新米,山田錦,50,6,105,31.36,,,,,,1.2,2.1,全閉,全閉,39.0,39.5,5.8,15:47:00,15.78 ,40.38,0.6,1.5,3.1,全開,5.8,1,0.6,1.5,3.1,全開,5.8,2,0.7,1.6,,,,,,
B,2021/11/10,岡山県,新米,雄町,50,6,145,31.78,11:24:00,11.40 ,33.40,,,,,,,,,,16:03:00,16.05 ,41.04,0.8,1.7,3.1,全開,6.4,1,0.8,1.7,3.1,全開,6.4,2,0.9,1.8,,,,,,
A,2021/11/11,岡山県,新米,山田錦,60,6,150,32.78,,,,,,1.6,2.4,全閉,全閉,39.0,39.5,6.4,15:25:00,15.42 ,,1.0,1.9,3.1,全開,6.4,2,1.1,2.0,3.1,全開,6.4,1,1.1,2.0,,,,,,
B,2021/11/12,兵庫県,新米,山田錦,50,6,103,31.36,,,,,,1.2,2.1,全閉,全閉,39.0,39.5,5.8,15:50:00,15.83 ,40.86,0.6,1.5,3.1,全開,5.8,2,0.5,1.1,3.1,全開,5.8,2,0.7,1.3,,,,,,
